+ virbr0 IPv4 me [ea:b0:af:b4:48:35]                        Workstation          local
+  wlan0 IPv4 scidb-vm [08:00:27:db:10:c5]                  Workstation          local
+  wlan0 IPv4 cybernator-X200MA [54:27:1e:c7:ec:1b]         Workstation          local
+  wlan0 IPv4 tulikaps-Precision-T5610 [34:17:eb:ae:9e:ce]  Workstation          local
+  wlan0 IPv6 pclab-61                                      Remote Disk Management local
+  wlan0 IPv6 tulika-OptiPlex-9010                          Remote Disk Management local
+  wlan0 IPv6 lanka                                         Remote Disk Management local
+  wlan0 IPv6 mk-desktop                                    Remote Disk Management local
+  wlan0 IPv6 hvarma                                        Remote Disk Management local
+  wlan0 IPv4 swap-550P5C-550P7C [c8:f7:33:6d:4e:5d]        Workstation          local
+  wlan0 IPv6 LIBRARY01                                     Remote Disk Management local
+  wlan0 IPv6 Research                                      Remote Disk Management local
+  wlan0 IPv4 kiriti-Inspiron-5520 [c0:18:85:c1:4a:19]      Workstation          local
+  wlan0 IPv6 IITMandi                                      Remote Disk Management local
+  wlan0 IPv6 aghori                                        Remote Disk Management local
+  wlan0 IPv4 ashok-Aspire-E1-431 [24:fd:52:b3:51:5c]       Workstation          local
+  wlan0 IPv6 gat-Precision-T7600                           Remote Disk Management local
+  wlan0 IPv6 pathak-HP-Z600-Workstation                    Remote Disk Management local
+  wlan0 IPv4 sparsh-HP-Pavilion-15-NoteBooK-PC [bc:85:56:bf:a7:5b] Workstation          local
+  wlan0 IPv4 berlin [00:71:cc:42:80:6f]                    Workstation          local
+  wlan0 IPv6 subashish                                     Remote Disk Management local
+  wlan0 IPv6 anjana-desktop                                Remote Disk Management local
+  wlan0 IPv4 ubuntu-2 [b0:10:41:1b:f7:8b]                  Workstation          local
+  wlan0 IPv6 anshu-HP-Pavilion-g6-Notebook-PC [c0:18:85:94:6a:d5] Workstation          local
+  wlan0 IPv4 sksq [18:5e:0f:75:d8:75]                      Workstation          local
+  wlan0 IPv6 amit-2 [b0:10:41:b2:40:b3]                    Workstation          local
+  wlan0 IPv4 MarCosKaDabba [8c:a9:82:5e:79:4c]             Workstation          local
+  wlan0 IPv6 dell-Inspiron-660s                            Remote Disk Management local
+  wlan0 IPv6 insite                                        Remote Disk Management local
+  wlan0 IPv6 jiten-2                                       Remote Disk Management local
+  wlan0 IPv6 rudra                                         Remote Disk Management local
+  wlan0 IPv6 network                                       Remote Disk Management local
+  wlan0 IPv4 samya-Lenovo-G500 [24:fd:52:93:76:78]         Workstation          local
+  wlan0 IPv6 faculty                                       Remote Disk Management local
+  wlan0 IPv6 kartik                                        Remote Disk Management local
